"The difficulty of enforcing existing copyright and patent laws is already placing in peril the ultimate source of intellectual property - the free exchange of ideas." ~ John Perry Barlow
"I knew it’s also true that a good way to invent the future is to predict it. So I predicted Utopia, hoping to give Liberty a running start before the laws of Moore and Metcalfe delivered up what Ed Snowden now correctly calls 'turn-key totalitarianism.'" ~ John Perry Barlow
"A world that all may enter without privilege or prejudice accorded by race, economic power, military force, or station of birth ... a world where anyone, anywhere may express his or her beliefs, no matter how singular, without fear of being coerced into silence or conformity." ~ John Perry Barlow
"In the abstract one can think of such a phase. In practice, however, he who denies the sharp tasks of to-day in the name of dreams about soft tasks of the future becomes an opportunist" ~ Vladimir Lenin
"Men can only be happy when they do not assume that the object of life is happiness." ~ George Orwell
"If liberty means anything at all, it means the right to tell people what they do not want to hear." ~ George Orwell
"To see what is in front of one's nose needs a constant struggle." ~ George Orwell
"Many people genuinely do not wish to be saints, and it is possible that some who achieve or aspire to sainthood have never had much temptation to be human beings." ~ George Orwell
"Pacifism is objectively pro-fascist. This is elementary common sense. If you hamper the war effort of one side, you automatically help out that of the other. Nor is there any real way of remaining outside such a war as the present one. In practice, 'he that is not with me is against me." ~ George Orwell
"Serious sport has nothing to do with fair play. It is bound up with hatred, jealousy, boastfulness, disregard of all rules and sadistic pleasure in witnessing violence. In other words: it is war minus the shooting." ~ George Orwell
"Speaking the Truth in times of universal deceit is a revolutionary act." ~ George Orwell
"The great enemy of clear language is insincerity." ~ George Orwell
"To see what is in front of one's nose requires a constant struggle." ~ George Orwell
"For a creative writer possession of the truth is less important than emotional sincerity." ~ George Orwell
"Every generation imagines itself to be more intelligent than the one that went before it, and wiser than the one that comes after it." ~ George Orwell
"All animals are equal but some animals are more equal than others." ~ George Orwell
"The quickest way of ending a war is to lose it." ~ George Orwell
"An autobiography is only to be trusted when it reveals something disgraceful. A man who gives a good account of himself is probably lying, since any life when viewed from the inside is simply a series of defeats." ~ George Orwell
"Political language is designed to make lies sound truthful and murder respectable, and to give an appearance of solidity to pure wind." ~ George Orwell
"Saints should always be judged guilty until they are proved innocent." ~ George Orwell
"At age 50, every man has the face he deserves." ~ George Orwell
"On the whole human beings want to be good, but not too good and not quite all the time." ~ George Orwell
"Advertising is the rattling of a stick inside a swill bucket." ~ George Orwell
"Liberal: a power worshipper without power." ~ George Orwell
"Political language - and with variations this is true of all political parties, from Conservatives to Anarchists - is designed to make lies sound truthful and murder respectable, and to give an appearance of solidity to pure wind." ~ George Orwell
"Who controls the past controls the future. Who controls the present controls the past." ~ George Orwell
"If liberty means anything at all, it means the right to tell people what they do not want to hear." ~ George Orwell
"We sleep safe in our beds because rough men stand ready in the night to visit violence on those who would do us harm." ~ George Orwell
"Power is not a means, it is an end. One does not establish a dictatorship in order to safeguard a revolution; one makes the revolution in order to establish the dictatorship. The object of persecution is persecution. The object of torture is torture. The object of power is power." ~ George Orwell
"War is a way of shattering to pieces, or pouring into the stratosphere, or sinking in the depths of the sea, materials which might otherwise be used to make the masses too comfortable, and hence, in the long run, too intelligent." ~ George Orwell
"Learning is knowledge, knowledge is wisdom, wisdom is knowing, knowing is learning." ~ 
"Intellectual honesty is laborious, but inherently rewarding" ~ Bit101
"Convenience is the death of cognition" ~ 
"Repetition is the mother of learning" ~ Rob Muller
